Frame,Time (s),Red,Green,Blue,Greyscale
140,0.28,15.08704567,9.555951118,4.705470085,10.6524601
141,0.282,15.08085346,9.577629089,4.707884789,10.66322803
142,0.284,15.08345604,9.612934113,4.729276657,10.68745232
143,0.286,15.10320759,9.63547802,4.744274139,10.7082386
144,0.288,15.12971115,9.654939651,4.756768227,10.72894478
145,0.29,15.15894508,9.679869652,4.757189751,10.75244522
146,0.292,15.17900658,9.693077087,4.748684883,10.76537609
147,0.294,15.20427513,9.697179794,4.751173019,10.77533436
148,0.296,15.21032524,9.702975273,4.752661705,10.78079128
149,0.298,15.25648212,9.723723412,4.777601242,10.81007576
150,0.3,15.28987503,9.747035027,4.788424492,10.83498764
151,0.302,15.32265472,9.777178764,4.82069397,10.86600685
152,0.304,15.35025501,9.81191349,4.850269318,10.8982935
153,0.306,15.37451077,9.844431877,4.860508919,10.92572117
154,0.308,15.39520359,9.875530243,4.853879929,10.94932652
155,0.31,15.41107559,9.900079727,4.814728737,10.96370792
156,0.312,15.44548607,9.947585106,4.812490463,11.00206375
157,0.314,15.47130489,9.986433029,4.841534615,11.03580952
158,0.316,15.5015974,10.01686096,4.861955643,11.06508446
159,0.318,15.53879929,10.03465366,4.870215416,11.08766651
160,0.32,15.57137585,10.05930996,4.887633324,11.11372662
161,0.322,15.59946156,10.06945992,4.886050224,11.12761784
162,0.324,15.60682297,10.08029079,4.88209343,11.13572025
163,0.326,15.63866806,10.10435486,4.900643349,11.16170216
164,0.328,15.67851543,10.12283802,4.911356926,11.185606
165,0.33,15.72610092,10.14834595,4.893463135,11.21278381
166,0.332,15.7472887,10.16493416,4.890028,11.22853184
167,0.334,15.76211357,10.18364429,4.878772736,11.24270535
168,0.336,15.77837467,10.1955452,4.859724045,11.25209045
169,0.338,15.80426311,10.21776009,4.831533432,11.26964951
170,0.34,15.82379532,10.24402142,4.846458435,11.29278851
171,0.342,15.83677673,10.26307297,4.843776703,11.30771732
172,0.344,15.87166691,10.28521538,4.818506241,11.32815075
173,0.346,15.88052464,10.30128384,4.817317009,11.34009552
174,0.348,15.90373516,10.32438564,4.831307411,11.36226463
175,0.35,15.91626167,10.33824158,4.830485344,11.373909
176,0.352,15.90487576,10.34089279,4.799025536,11.36847687
177,0.354,15.93729591,10.36426544,4.801864624,11.39246178
178,0.356,15.94985008,10.37595272,4.805309296,11.40350533
179,0.358,15.94473267,10.38557911,4.806581497,11.40772343
180,0.36,15.929039,10.40276909,4.805754662,11.4130888
181,0.362,15.93465996,10.41163731,4.805194855,11.41993427
182,0.364,15.93361187,10.42106438,4.784938812,11.42259598
183,0.366,15.91403103,10.41541576,4.736664772,11.40761089
184,0.368,15.92773056,10.4261837,4.730280876,11.41763401
185,0.37,15.92549992,10.42759514,4.714979172,11.41586685
186,0.372,15.92249298,10.41840363,4.689868927,11.40683079
187,0.374,15.90838623,10.40544605,4.679077148,11.39387703
188,0.376,15.91902161,10.39481163,4.691539764,11.39200687
189,0.378,15.9397974,10.39492893,4.705765724,11.39975548
190,0.38,15.95694733,10.38896275,4.693873405,11.40000153
191,0.382,15.97175884,10.38462734,4.707182884,11.40370464
192,0.384,16.00026512,10.37712765,4.70166111,11.4072113
193,0.386,16.01259041,10.3875761,4.694778442,11.41616058
194,0.388,16.0318718,10.39258957,4.680294991,11.42359257
